Factor,Iλ,τI
1,0.009221770905456962,0.9963584842461655
2,3.0802186787419458e-06,0.00033279963744078445
3,2.122097500637221e-06,0.00022928024029596138
4,1.8706292246036379e-06,0.00020211056183468522
5,1.4289307604201978e-06,0.00015438762263140818
6,1.3266873874809295e-06,0.00014334082336363383
7,1.264377435187094e-06,0.00013660859695534177
8,1.223718317147332e-06,0.00013221561673102165
9,1.1600671048998078e-06,0.00012533847501870196
10,1.1078907795753104e-06,0.00011970112781643213
11,1.0784013040042148e-06,0.00011651496222172578
12,1.0582105719162281e-06,0.00011433347154870303
13,1.0515491275072266e-06,0.00011361374138816356
14,1.0399359437643054e-06,0.0001123590047144817
15,9.583546329340653e-07,0.00010354462057558126
16,9.56378500837929e-07,0.00010333111104469372
17,9.161432223082791e-07,9.89839242038992e-05
18,8.98781732703017e-07,9.71081166562276e-05
19,8.957857280318019e-07,9.678441585042685e-05
20,8.391856750254897e-07,9.066911071003882e-05
21,8.304054711768758e-07,8.972046096720031e-05
22,8.178951450552043e-07,8.836879329948176e-05
23,7.959417748659486e-07,8.599685987475114e-05
24,7.777110414420221e-07,8.402713560951152e-05
25,7.557464246835685e-07,8.165398705866749e-05
26,6.925809510963982e-07,7.482932657151938e-05
27,6.469452328791192e-07,6.989865376511224e-05
28,6.041280528984555e-07,6.527250755278499e-05
29,5.65338846823424e-07,6.10815603945596e-05
30,5.018687031180425e-07,5.4223982080641737e-05
31,3.9194566691576587e-07,4.234744005231756e-05
32,3.5873775249594403e-07,3.875951885849015e-05
33,3.3919424858162e-07,3.6647957409331594e-05
34,3.1282081456391865e-07,3.379846190443962e-05
35,2.67264346666544e-07,2.887635163221658e-05
36,2.501189323491103e-07,2.70238897573524e-05
37,2.427786955064865e-07,2.623082003901915e-05
38,1.411539066781873e-07,1.5250855171437848e-05
39,7.29187251770581e-08,7.878442355099492e-06
40,5.336123389650329e-08,5.765369652716456e-06
41,7.7579281629102e-09,8.381988258582553e-07
42,4.777853909605796e-32,5.162192086671181e-30
43,1.8186726230015095e-33,1.9649695449726531e-31
44,9.1804089610681e-35,9.918895677398605e-33
Σ,0.009255474862979722,1.0
